Date,Open,Close,Low,High,Volume,,MACD,,
1901-01-31,51.02,48.39,47.02,51.02,0,,-0.167531115,,
1901-02-28,49.04,48.52,48.52,51.26,0,,-0.027035037,,
1901-03-31,49.08,50.28,48.66,50.28,0,,0.165025327,,
1901-04-30,51.36,54.9,51.36,54.96,0,,0.561479458,,
1901-05-31,54.99,54.88,48.8,54.99,0,,0.767867176,,
1901-06-30,56.3,55.38,55.12,56.68,0,,0.875740825,,
1901-07-31,55.83,51.88,50.31,55.83,0,,0.658946202,,
1901-08-31,51.94,53.21,50.01,53.47,0,,0.556757974,,
1901-09-30,52.62,48.28,47.96,53.07,0,,0.130992149,,
1901-10-31,47.85,46.68,46.15,47.85,0,,-0.263052233,,
1901-11-30,46.84,47.57,46.7,48.18,0,,-0.457052239,,
1901-12-31,46.37,46.76,44.56,46.98,0,,-0.62294682,,
1902-01-31,46.58,47.04,45.32,47.2,0,,-0.69154792,,
1902-02-28,46.91,46.94,46.77,47.46,0,,-0.718245704,,
1902-03-31,47.29,48.66,46.91,48.9,0,,-0.599494584,,
1902-04-30,48.67,48.53,47.76,49.57,0,,-0.512500346,,
1902-05-31,48.6,48.1,46.88,48.6,0,,-0.467948297,,
1902-06-30,47.99,46.58,46.11,47.99,0,,-0.520828385,,
1902-07-31,46.53,47.67,46.53,48.73,0,,-0.464253813,,
1902-08-31,47.74,48,47.32,48.37,0,,-0.389484208,,
1902-09-30,48.2,47.91,46.4,49.08,0,,-0.333145562,,
1902-10-31,48.13,47.84,46.24,48.22,0,,-0.289276788,,
1902-11-30,47.47,45,43.9,47.47,0,,-0.431639171,,
1902-12-31,45.29,46.56,43.14,46.56,0,,-0.40148325,,
1903-01-31,46.79,47.05,46.49,48.04,0,,-0.332146861,,
1903-02-28,47.46,47.92,47.46,49.03,0,,-0.216879899,,
1903-03-31,47.81,46.09,45.53,47.81,0,,-0.250680407,,
1903-04-30,45.97,46.19,44.03,46.76,0,,-0.252402197,,
1903-05-31,46.24,43.65,43.65,46.4,0,,-0.401830766,,
1903-06-30,43.16,42.79,41.03,43.38,0,,-0.52787626,,
1903-07-31,42.59,36.76,36.1,42.59,0,,-0.961392369,,
1903-08-31,36.63,38.52,34.75,39.02,0,,-1.065568662,,
1903-09-30,38.2,33.17,32.66,38.2,0,,-1.409174989,,
1903-10-31,34.08,32.46,30.6,34.49,0,,-1.585513257,,
1903-11-30,32.92,32.11,30.53,32.92,0,,-1.621179138,,
1903-12-31,32.12,35.57,32.12,35.74,0,,-1.319964333,,
1904-01-31,34.6,35.57,34.09,36.57,0,,-1.041190069,,
1904-02-29,35.51,34.42,33.83,35.51,0,,-0.862112141,,
1904-03-31,34.66,35.58,33.65,35.58,0,,-0.605525773,,
1904-04-30,35.26,35.42,35.21,36.2,0,,-0.396668499,,
1904-05-31,35.07,34.89,34.35,35.28,0,,-0.251383988,,
1904-06-30,34.95,35.67,34.82,35.83,0,,-0.069387612,,
1904-07-31,35.71,37.75,35.71,38.37,0,,0.20919961,,
1904-08-31,38.19,39.52,38.15,39.55,0,,0.513463816,,
1904-09-30,39.79,41.71,39.79,41.71,0,,0.843504957,,
1904-10-31,42.48,45.65,41.71,45.91,0,,1.282159673,,
1904-11-30,46.15,52.16,46.15,52.41,0,,1.926985363,,
1904-12-31,52.18,50.73,47.63,53.04,0,,2.156127957,,
1905-01-31,50.98,51.66,49.8,51.66,0,,2.258411841,,
1905-02-28,51.36,54.43,51.36,55.12,0,,2.388098377,,
1905-03-31,55.09,57.95,54.98,57.95,0,,2.57058227,,
1905-04-30,58.76,56.4,56.4,60.66,0,,2.447177985,,
1905-05-31,55.69,53.83,51.69,56.53,0,,2.067846341,,
1905-06-30,52.99,55.67,52.53,56.33,0,,1.824712435,,
1905-07-31,57,59.17,56.51,59.17,0,,1.781468548,,
1905-08-31,58.92,58.4,58.4,59.98,0,,1.589217016,,
1905-09-30,57.69,58.95,56.93,59.32,0,,1.394265691,,
1905-10-31,59.51,60.67,58.54,60.67,0,,1.279330713,,
1905-11-30,60.94,65.1,58.54,65.1,0,,1.390603526,,
1905-12-31,64.91,69.93,64.86,69.93,0,,1.660183496,,
1906-01-31,68.8,72.92,68.4,74.6,0,,1.893647101,,
1906-02-28,73.55,68.04,68.04,73.66,0,,1.585674102,,
1906-03-31,67.96,69.96,67.28,70.22,0,,1.384829623,,
1906-04-30,70.86,65.57,65.12,71.11,0,,0.855814061,,
1906-05-31,63.76,67.9,62.61,67.91,0,,0.575743217,,
1906-06-30,68.09,63.22,63.22,68.96,0,,0.017713819,,
1906-07-31,62.37,66.93,61.69,66.93,0,,-0.149891968,,
1906-08-31,67.88,68.09,66.41,69.58,0,,-0.226395034,,
1906-09-30,67.58,68.79,67.58,69.58,0,,-0.270626389,,
1906-10-31,69.36,67.29,67.29,70.07,0,,-0.432093827,,
1906-11-30,67.93,68.89,66.91,69.04,0,,-0.459758595,,
1906-12-31,69.06,68.33,67.31,69.45,0,,-0.538906479,,
1907-01-31,68.26,66.41,65.74,69.8,0,,-0.731737665,,
1907-02-28,65.61,65.57,65,67.64,0,,-0.915123959,,
1907-03-31,65.27,58.05,54.6,65.27,0,,-1.507193206,,
1907-04-30,59.61,61.05,58.95,61.42,0,,-1.649582742,,
1907-05-31,60.74,56.56,55.98,61.58,0,,-1.976892019,,
1907-06-30,56.06,57.94,56.06,58.1,0,,-2.023831893,,
1907-07-31,58.86,57.12,57.12,59.77,0,,-2.028367128,,
1907-08-31,56.75,52.35,50.15,57.12,0,,-2.253542925,,
1907-09-30,53.24,49.05,49.05,53.51,0,,-2.506259619,,
1907-10-31,49.21,41.79,41.45,49.21,0,,-3.009996264,,
1907-11-30,41.69,41.65,38.39,42.35,0,,-3.183418485,,
1907-12-31,43.56,42.55,41.17,44.74,0,,-3.067088922,,
1908-01-31,43.17,45.41,43.17,47.68,0,,-2.643173604,,
1908-02-29,44.77,44.23,42.46,45,0,,-2.300490869,,
1908-03-31,44.24,48.89,44.16,50.64,0,,-1.648748699,,
1908-04-30,49.13,50.37,48.55,50.91,0,,-1.036641803,,
1908-05-31,50.64,52.7,50.54,54.41,0,,-0.424857453,,
1908-06-30,53.87,52.57,51.93,53.87,0,,-0.001369132,,
1908-07-31,52.7,58.19,52.7,58.19,0,,0.648853616,,
1908-08-31,58.71,61.31,58.71,61.85,0,,1.246080331,,
1908-09-30,61.24,57.89,55.82,61.24,0,,1.358574957,,
1908-10-31,57.58,60.05,57.58,60.51,0,,1.514357844,,
1908-11-30,60.04,63.23,60.04,64.01,0,,1.750749067,,
